Time (s) Auto	Angle (rad) Run #28
25.850	0.815
25.900	0.723
25.950	0.613
26.000	0.548
26.050	0.492
26.100	0.416
26.150	0.391
26.200	0.397
26.250	0.412
26.300	0.426
26.350	0.437
26.400	0.449
26.450	0.451
26.500	0.426
26.550	0.401
26.600	0.402
26.650	0.407
26.700	0.412
26.750	0.426
26.800	0.445
26.850	0.440
26.900	0.423
26.950	0.410
27.000	0.430
27.050	0.449
27.100	0.452
27.150	0.441
27.200	0.445
27.250	0.463
27.300	0.459
27.350	0.484
27.400	0.512
27.450	0.498
27.500	0.525
27.550	0.569
27.600	0.570
27.650	0.573
27.700	0.591
27.750	0.592
27.800	0.598
27.850	0.631
27.900	0.669
27.950	0.653
28.000	0.589
28.050	0.518
28.100	0.517
28.150	0.534
28.200	0.507
28.250	0.495
28.300	0.507
28.350	0.509
28.400	0.504
28.450	0.503
28.500	0.462
28.550	0.410
28.600	0.397
28.650	0.437
28.700	0.451
28.750	0.408
28.800	0.366
28.850	0.314
28.900	0.245
28.950	0.179
29.000	0.184
29.050	0.185
29.100	0.154
29.150	0.160
29.200	0.174
29.250	0.190
29.300	0.196
29.350	0.206
29.400	0.203
29.450	0.221
29.500	0.204
29.550	0.193
29.600	0.187
29.650	0.206
29.700	0.236
29.750	0.225
29.800	0.220
29.850	0.198
29.900	0.167
29.950	0.135
30.000	0.088
30.050	0.074
30.100	0.079
30.150	0.085
30.200	0.104
30.250	0.143
30.300	0.168
30.350	0.121
30.400	0.019
30.450	-0.097
30.500	-0.192
30.550	-0.245
30.600	-0.276
30.650	-0.308
30.700	-0.328
30.750	-0.357
30.800	-0.394
30.850	-0.421
30.900	-0.421
30.950	-0.394
31.000	-0.360
31.050	-0.341
31.100	-0.361
31.150	-0.408
31.200	-0.451
31.250	-0.438
31.300	-0.415
31.350	-0.361
31.400	-0.308
31.450	-0.289
31.500	-0.280
31.550	-0.251
31.600	-0.232
31.650	-0.236
31.700	-0.234
31.750	-0.228
31.800	-0.220
31.850	-0.209
31.900	-0.192
31.950	-0.154
32.000	-0.118
32.050	-0.072
32.100	-0.028
32.150	-0.008
32.200	0.006
32.250	0.013
32.300	0.025
32.350	0.094
32.400	0.214
32.450	0.325
32.500	0.386
32.550	0.405
32.600	0.396
32.650	0.377
32.700	0.369
32.750	0.391
32.800	0.441
32.850	0.518
32.900	0.609
32.950	0.699
33.000	0.787
33.050	0.875
33.100	0.957
33.150	1.032
33.200	1.103
33.250	1.170
33.300	1.235
33.350	1.293
33.400	1.346
33.450	1.385
33.500	1.420
33.550	1.470
33.600	1.538
33.650	1.604
33.700	1.654
33.750	1.682
33.800	1.709
33.850	1.742
33.900	1.786
33.950	1.830
34.000	1.863
34.050	1.891
34.100	1.918
34.150	1.943
34.200	1.974
34.250	2.006
34.300	2.036
34.350	2.061
34.400	2.080
34.450	2.094
34.500	2.102
34.550	2.102
34.600	2.097
34.650	2.084
34.700	2.069
34.750	2.051
34.800	2.033
34.850	2.014
34.900	1.996
34.950	1.981
35.000	1.967
35.050	1.957
35.100	1.949
35.150	1.948
35.200	1.948
35.250	1.953
35.300	1.959
35.350	1.967
35.400	1.974
35.450	1.981
35.500	1.987
35.550	1.992
35.600	1.995
35.650	1.996
35.700	1.996
35.750	1.995
35.800	1.993
35.850	1.990
35.900	1.989
35.950	1.985
36.000	1.984
36.050	1.982
36.100	1.981
36.150	1.979
36.200	1.978
36.250	1.978
36.300	1.978
36.350	1.979
36.400	1.979
36.450	1.981
36.500	1.984
36.550	1.985
36.600	1.987
36.650	1.989
36.700	1.989
36.750	1.989
36.800	1.987
36.850	1.985
36.900	1.984
36.950	1.984
37.000	1.982
37.050	1.981
37.100	1.981
37.150	1.981
37.200	1.981
37.250	1.982
37.300	1.982
37.350	1.984
37.400	1.984
37.450	1.985
37.500	1.985
37.550	1.985
37.600	1.987
37.650	1.987
37.700	1.987
37.750	1.987
37.800	1.987
37.850	1.985
37.900	1.985
37.950	1.984
38.000	1.982
38.050	1.981
38.100	1.979
38.150	1.979
38.200	1.979
38.250	1.981
38.300	1.982
38.350	1.985
38.400	1.989
38.450	1.992
38.500	1.993
38.550	1.995
38.600	1.993
38.650	1.992
38.700	1.989
38.750	1.985
38.800	1.981
38.850	1.978
38.900	1.976
38.950	1.974
39.000	1.976
39.050	1.979
39.100	1.982
39.150	1.987
39.200	1.992
39.250	1.995
39.300	1.998
39.350	1.998
39.400	1.998
39.450	1.995
39.500	1.992
39.550	1.987
39.600	1.982
39.650	1.979
39.700	1.976
39.750	1.974
39.800	1.974
39.850	1.978
39.900	1.981
39.950	1.985
40.000	1.989
40.050	1.993
40.100	1.995
40.150	1.996
40.200	1.995
40.250	1.993
40.300	1.990
40.350	1.985
40.400	1.982
40.450	1.979
40.500	1.978
40.550	1.976
40.600	1.978
40.650	1.979
40.700	1.982
40.750	1.985
40.800	1.989
40.850	1.992
40.900	1.995
40.950	1.995
41.000	1.993
41.050	1.992
41.100	1.989
41.150	1.985
41.200	1.981
41.250	1.979
41.300	1.976
41.350	1.976
41.400	1.978
41.450	1.981
41.500	1.984
41.550	1.987
41.600	1.990
41.650	1.992
41.700	1.993
41.750	1.993
41.800	1.993
41.850	1.990
41.900	1.987
41.950	1.984
42.000	1.981
42.050	1.979
42.100	1.978
42.150	1.978
42.200	1.979
42.250	1.982
42.300	1.985
42.350	1.987
42.400	1.990
42.450	1.992
42.500	1.992
42.550	1.992
42.600	1.990
42.650	1.989
42.700	1.985
42.750	1.984
42.800	1.982
42.850	1.979
42.900	1.979
42.950	1.979
43.000	1.981
43.050	1.982
43.100	1.985
43.150	1.987
43.200	1.990
43.250	1.992
43.300	1.993
43.350	1.993
43.400	1.993
43.450	1.992
43.500	1.989
43.550	1.985
43.600	1.982
43.650	1.979
43.700	1.978
43.750	1.976
43.800	1.976
43.850	1.978
43.900	1.981
43.950	1.984
44.000	1.987
44.050	1.992
44.100	1.995
44.150	1.996
44.200	1.996
44.250	1.995
44.300	1.993
44.350	1.990
44.400	1.985
44.450	1.981
44.500	1.978
44.550	1.974
44.600	1.974
44.650	1.974
44.700	1.978
44.750	1.981
44.800	1.985
44.850	1.989
44.900	1.993
44.950	1.995
45.000	1.996
45.050	1.996
45.100	1.995
45.150	1.992
45.200	1.987
45.250	1.984
45.300	1.981
45.350	1.978
45.400	1.976
45.450	1.978
45.500	1.979
45.550	1.982
45.600	1.987
45.650	1.990
45.700	1.993
45.750	1.996
45.800	1.996
45.850	1.996
45.900	1.993
45.950	1.990
46.000	1.985
46.050	1.982
46.100	1.979
46.150	1.978
46.200	1.976
46.250	1.978
