time(s),angle(rad)
26.2,0.397
26.25,0.412
26.3,0.426
26.35,0.437
26.4,0.449
26.45,0.451
26.5,0.426
26.55,0.401
26.6,0.402
26.65,0.407
26.7,0.412
26.75,0.426
26.8,0.445
26.85,0.44
26.9,0.423
26.95,0.41
27,0.43
27.05,0.449
27.1,0.452
27.15,0.441
27.2,0.445
27.25,0.463
27.3,0.459
27.35,0.484
27.4,0.512
27.45,0.498
27.5,0.525
27.55,0.569
27.6,0.57
27.65,0.573
27.7,0.591
27.75,0.592
27.8,0.598
27.85,0.631
27.9,0.669
27.95,0.653
28,0.589
28.05,0.518
28.1,0.517
28.15,0.534
28.2,0.507
28.25,0.495
28.3,0.507
28.35,0.509
28.4,0.504
28.45,0.503
28.5,0.462
28.55,0.41
28.6,0.397
28.65,0.437
28.7,0.451
28.75,0.408
28.8,0.366
28.85,0.314
28.9,0.245
28.95,0.179
29,0.184
29.05,0.185
29.1,0.154
29.15,0.16
29.2,0.174
29.25,0.19
29.3,0.196
29.35,0.206
29.4,0.203
29.45,0.221
29.5,0.204
29.55,0.193
29.6,0.187
29.65,0.206
29.7,0.236
29.75,0.225
29.8,0.22
29.85,0.198
29.9,0.167
29.95,0.135
30,0.088
30.05,0.074
30.1,0.079
30.15,0.085
30.2,0.104
30.25,0.143
30.3,0.168
30.35,0.121
30.4,0.019
30.45,-0.097
30.5,-0.192
30.55,-0.245
30.6,-0.276
30.65,-0.308
30.7,-0.328
30.75,-0.357
30.8,-0.394
30.85,-0.421
30.9,-0.421
30.95,-0.394
31,-0.36
31.05,-0.341
31.1,-0.361
31.15,-0.408
31.2,-0.451
31.25,-0.438
31.3,-0.415
31.35,-0.361
31.4,-0.308
31.45,-0.289
31.5,-0.28
31.55,-0.251
31.6,-0.232
31.65,-0.236
31.7,-0.234
31.75,-0.228
31.8,-0.22
31.85,-0.209
31.9,-0.192
31.95,-0.154
32,-0.118
32.05,-0.072
32.1,-0.028
32.15,-0.008
32.2,0.006
32.25,0.013
32.3,0.025
32.35,0.094
32.4,0.214
32.45,0.325
32.5,0.386
32.55,0.405
32.6,0.396
